idx,l_angle_knee,r_angle_knee,l_angle_hip,r_angle_hip,back_ground_angle
1,71.49187874522623,69.0902843309479,103.69691996619507,108.9421516513086,17.551953025588595
2,69.41467405416286,67.61461289277236,102.50777656605631,108.60802090163538,17.974424517041903
3,70.46643240909683,64.85592040254129,100.90506641846247,105.131326512938,19.723754916646183
4,68.00594438496964,61.81981058260007,99.04368325519462,102.98382436264964,20.1557709627688
5,69.12579363252242,62.7134211411568,98.48288056292527,102.11660125474145,22.591601304058045
6,67.0304953891223,60.82568652741181,96.24887436567407,100.72138485168041,23.400948849784392
7,67.58189979811712,62.115751110752264,94.05783114952757,99.29105564189759,25.554298413949894
8,65.63778954095004,59.33260051691484,92.11405345918577,96.64701511354642,27.85740893651613
9,65.74882509707172,62.20284890849593,88.24537276835501,94.7257771798054,30.624552075479635
10,65.00300471820727,61.690606375558495,87.90017458629858,94.61547571083764,30.751619551558083
11,65.58147176704637,61.44415426478916,86.41485380480258,92.42921288958381,32.31360463024362
12,65.5748631555028,60.727906969979934,85.28971906569491,91.41063706718349,32.97701426960999
13,63.70615642239046,60.20278805970844,82.69802318815127,90.20641868973948,33.88569594425024
14,62.04360228040431,59.04038641381986,80.44484018539727,87.9333036876237,36.49713989135827
15,62.374347581808,58.48046809378646,78.73400453915458,85.70137557628016,38.51178176242631
16,62.14451561750741,58.782421212890135,77.79805783879938,85.7074633261987,38.974509265463745
17,61.861546051162826,58.061156357004315,76.98092446276475,83.98122582494513,40.57744197715087
18,60.8647955744738,57.03449444578969,75.53278331340914,82.20381619862867,42.04023467860502
19,61.48709424637676,58.87235701030324,76.19494901095139,83.58264675244152,41.75237140949001
20,62.038218473046214,60.115774729215055,74.32676780930886,81.94739213219096,44.65090948078226
21,60.94399619583403,58.4660683845634,74.3261710286243,81.57426685810411,43.83497597342067
22,62.165063041268034,60.3816931797097,74.24874023372907,81.54952465991111,44.64053954741895
23,62.8210446844356,60.86274485403379,73.31908225649016,81.01447586776646,46.01686788398747
24,61.86977264771781,59.209779018741315,73.63010087270584,80.41165682617296,45.219375233931345
25,62.25365235974858,60.546258818255936,73.30842408825255,80.88828626650869,46.14685478952931
26,62.01157037726233,60.078396217260085,73.44256612775341,81.24783712316405,45.67937340983661
27,61.99794668390513,59.65148348316668,73.9530184548102,80.90480994518515,45.67551338880685
28,62.12114766358161,60.249599592941834,73.0951592394148,80.63709605754023,46.13423746111183
29,62.40519469568513,60.01849261170553,73.42496659270158,80.32480952295882,46.06462433181072
30,61.487315361870344,59.76131184065003,72.36790033789795,80.09112506279558,46.32225293160178
31,61.46810439323873,59.495507647771,72.44006687147453,80.19642611105309,46.5568202353233
32,61.565081865687254,60.475669077694505,72.95702306864351,82.01872158924803,45.827283516822654
33,62.74351596417105,61.16604331198452,74.22283148095553,82.3386954650533,45.39453649340298
34,62.04662343098202,60.18932632220635,75.50776757168558,83.49971422235474,43.726396036339416
35,62.84421726427513,61.59012452661585,74.40232872876732,83.24175217890519,44.54817736967506
36,63.31278190072556,61.9992998615383,75.4494916737992,84.3921117797869,43.991952637652595
37,62.19296534936521,60.89673680656785,75.89301329368496,84.72111744103346,42.53380349529156
38,61.96027371101993,60.479064208736936,77.4439045892274,86.68062384293717,39.63767246044083
39,61.48680525246064,59.887748061944905,78.40664138391202,88.15311922774035,38.25671890915924
40,61.86450273255843,60.233273366192435,79.67503968033796,89.3825679922543,36.17795840001396
41,63.06650325165883,61.45203711356951,81.59427879894473,90.53775803550393,36.36206016980668
42,63.109075350304245,60.22832181839306,82.78818588267276,90.70154328991607,34.74025923649932
43,61.9091522302583,59.0923462490833,86.096407327739,94.09367155114778,31.72202273319568
44,62.25919691505617,59.31304317103384,87.03530912938132,94.89006250748976,30.926589465964543
45,64.7964078923786,61.5059840389553,89.43374674595572,96.83519084904886,30.128620383092446
46,64.74346001617238,60.404856733222225,90.40473468429455,96.46569864687784,28.374364573276136
47,63.26852854950705,60.33055443615678,92.76256686426589,100.14175899295381,24.620478674083614
48,63.02513961056195,59.1335626626184,93.39876776689795,99.40047391875108,24.934950600716387
49,76.35750283483638,69.76732446622597,104.01113467571498,107.83481285444799,21.460683279792793
